Hardware,Category,Workload,Location,Cost (₹),Performance,Renewable %,Power (W)
NVIDIA A100,GPU,AI/ML Training,Rajasthan,2500000,120,85,400
NVIDIA A100,GPU,AI/ML Training,Gujarat,2500000,120,85,400
NVIDIA A100,GPU,AI/ML Training,Telangana,2500000,120,85,400
NVIDIA A100,GPU,AI/ML Training,Andhra Pradesh,2500000,120,85,400
NVIDIA A100,GPU,AI/ML Training,Madhya Pradesh,2500000,120,85,400
NVIDIA A100,GPU,AI/ML Training,Tamil Nadu,2500000,120,80,400
NVIDIA A100,GPU,AI/ML Training,Karnataka,2500000,120,80,400
NVIDIA A100,GPU,AI/ML Training,Maharashtra,2500000,120,80,400
NVIDIA A100,GPU,AI/ML Training,Himachal Pradesh,2500000,120,82,400
NVIDIA A100,GPU,AI/ML Training,Uttarakhand,2500000,120,82,400
NVIDIA A100,GPU,AI/ML Training,Sikkim,2500000,120,82,400
NVIDIA A100,GPU,AI/ML Training,Arunachal Pradesh,2500000,120,82,400
NVIDIA A100,GPU,AI/ML Training,Kerala,2500000,120,76,400
NVIDIA A100,GPU,AI/ML Training,West Bengal,2500000,120,76,400
NVIDIA A100,GPU,AI/ML Training,Odisha,2500000,120,76,400
NVIDIA A100,GPU,AI/ML Training,Delhi,2500000,120,68,400
NVIDIA A100,GPU,AI/ML Training,Bihar,2500000,120,68,400
NVIDIA A100,GPU,AI/ML Training,Jharkhand,2500000,120,68,400
NVIDIA A100,GPU,AI/ML Training,Punjab,2500000,120,68,400
NVIDIA A100,GPU,AI/ML Training,Haryana,2500000,120,68,400
NVIDIA A100,GPU,AI/ML Training,Chhattisgarh,2500000,120,68,400
NVIDIA A100,GPU,AI/ML Training,Assam,2500000,120,68,400
NVIDIA A100,GPU,AI/ML Training,Nagaland,2500000,120,68,400
NVIDIA A100,GPU,AI/ML Training,Manipur,2500000,120,68,400
NVIDIA A100,GPU,AI/ML Training,Meghalaya,2500000,120,68,400
NVIDIA A100,GPU,AI/ML Training,Mizoram,2500000,120,68,400
NVIDIA A100,GPU,AI/ML Training,Tripura,2500000,120,68,400
